doi,title,authors,year,journal,is_oa,pdf_url,screen_decision,screen_reason,similarity
10.2139/ssrn.5342976,Multi-Domain Aspect-Based Sentiment Analysis Using Domain Adaptation Techniques,Williams Toms,2025,,True,https://doi.org/10.2139/ssrn.5342976,Include,matched include keyword: multi-domain,0.614833414554596
10.1016/j.knosys.2019.105254,Multi-source domain adaptation with joint learning for cross-domain sentiment classification,Chuanjun Zhao; Suge Wang; Deyu Li,2020,Knowledge-Based Systems,False,,Include,matched include keyword: sentiment classification,0.6235076189041138
10.18653/v1/2020.coling-main.22,Weighed Domain-Invariant Representation Learning for Cross-domain Sentiment Analysis,Minlong Peng; Qi Zhang,2020,Proceedings of the 28th International Conference on Computational Linguistics,True,https://www.aclweb.org/anthology/2020.coling-main.22.pdf,Include,matched include keyword: cross-domain,0.6101403832435608
10.2172/1827857,Domain Adaptation for Cross-Domain Studies in Astronomy: Merging Galaxies Identification,Aleksandra Ćiprijanović,2021,Domain Adaptation for Cross-Domain Studies in Astronomy: Merging Galaxies Identification,True,https://www.osti.gov/biblio/1827857,Exclude,excluded rule: galaxies,0.23968274891376495
10.1016/j.knosys.2022.108649,Contrastive transformer based domain adaptation for multi-source cross-domain sentiment classification,Yanping Fu; Yun Liu,2022,Knowledge-Based Systems,False,,Exclude,excluded rule: transformer,0.616437554359436
10.1016/j.patcog.2020.107763,Compact class-conditional domain invariant learning for multi-class domain adaptation,Woojin Lee; Hoki Kim; Jaewook Lee,2021,Pattern Recognition,False,,Exclude,semantic non-match (score=0.379),0.37874987721443176
10.5220/0013113000003911,Cross-Domain Transfer Learning for Domain Adaptation in Autism Spectrum Disorder Diagnosis,Kush Gupta; Amir Aly; Emmanuel Ifecahor,2025,Proceedings of the 18th International Joint Conference on Biomedical Engineering Systems and Technologies,False,,Include,matched include keyword: cross-domain,0.3084360659122467
10.2139/ssrn.4853897,Simplified Syntax-Guided Domain-Shared Representation Learning for Cross-Domain Aspect-Based Sentiment Analysis,Jiqun Zhang; Yan Xiang,2024,,True,https://doi.org/10.2139/ssrn.4853897,Include,matched include keyword: cross-domain,0.5568100810050964
10.2139/ssrn.4978613,Conditional Cross-Domain Prompt Learning for Domain Adaptation,Bo Zhou; Long Liu; Chenyue Fan; Zhipeng Zhao,2024,,True,https://doi.org/10.2139/ssrn.4978613,Include,matched include keyword: cross-domain,0.39277535676956177
10.1109/icaiss55157.2022.10011051,A Cross-Domain Semantic Similarity Measure and Multi-Source Domain Adaptation in Sentiment Analysis,Dipak Patel; Kiran Amin,2022,2022 International Conference on Augmented Intelligence and Sustainable Systems (ICAISS),False,,Include,matched include keyword: cross-domain,0.602197527885437
